epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.182,1.54775,1.36962,0.99633,0.3582,0.25244,0.22868,0.12483,1.55042,1.19392,0.98314,0.0671222,0.000332099,0.000332099
2,750.385,1.54214,1.1966,0.98387,0.33928,0.25623,0.23525,0.12073,1.5725,1.21868,1.0028,0.0341156,0.000658844,0.000658844
3,1104.37,1.54818,1.19136,0.99735,0.38415,0.26895,0.26348,0.14751,1.4608,1.16031,0.96383,0.00110245,0.00097899,0.00097899
4,1456.71,1.51253,1.1252,0.97773,0.40997,0.30063,0.293,0.16424,1.44837,1.05771,0.95687,0.0009703,0.0009703,0.0009703
5,1810.79,1.4685,1.07737,0.97,0.42776,0.3157,0.31051,0.17155,1.39599,1.02446,0.94477,0.0009604,0.0009604,0.0009604
6,2164.1,1.45374,1.05501,0.96313,0.4341,0.33268,0.3256,0.18067,1.41031,0.99597,0.94593,0.0009505,0.0009505,0.0009505
7,2515.98,1.42253,1.02532,0.9534,0.46463,0.33838,0.33095,0.18461,1.37747,0.96884,0.9364,0.0009406,0.0009406,0.0009406
8,2868.3,1.41648,1.0057,0.95417,0.44258,0.3315,0.33163,0.18667,1.38559,0.96721,0.9344,0.0009307,0.0009307,0.0009307
9,3220.43,1.40172,0.98727,0.95214,0.4534,0.346,0.34892,0.19055,1.42818,0.95781,0.9407,0.0009208,0.0009208,0.0009208
10,3570.13,1.39385,0.97693,0.94654,0.45888,0.35605,0.35436,0.19628,1.37072,0.94311,0.92915,0.0009109,0.0009109,0.0009109
11,3919.3,1.38165,0.95658,0.94674,0.47387,0.35613,0.35577,0.19732,1.36296,0.93133,0.93063,0.000901,0.000901,0.000901
12,4272.84,1.37281,0.95282,0.94403,0.48456,0.36309,0.36779,0.20405,1.37982,0.92655,0.92769,0.0008911,0.0008911,0.0008911
13,4626.06,1.38386,0.95178,0.94147,0.49207,0.3528,0.36368,0.20201,1.36686,0.91976,0.92833,0.0008812,0.0008812,0.0008812
14,4977.21,1.36535,0.93623,0.94181,0.48892,0.3552,0.36558,0.20464,1.36149,0.91386,0.92641,0.0008713,0.0008713,0.0008713
15,5330.51,1.35633,0.9259,0.93504,0.48133,0.36899,0.37101,0.207,1.37327,0.90609,0.93043,0.0008614,0.0008614,0.0008614
16,5683.1,1.36447,0.93157,0.93661,0.51311,0.3717,0.38656,0.2143,1.36995,0.89984,0.92831,0.0008515,0.0008515,0.0008515
17,6032.57,1.34607,0.90748,0.93616,0.51328,0.36508,0.37941,0.20553,1.39354,0.92083,0.93007,0.0008416,0.0008416,0.0008416
18,6382.6,1.36051,0.92001,0.93881,0.49754,0.36815,0.37779,0.21125,1.36851,0.90307,0.92753,0.0008317,0.0008317,0.0008317
19,6729.87,1.33893,0.89966,0.93217,0.48961,0.38744,0.38885,0.2148,1.36321,0.87959,0.92423,0.0008218,0.0008218,0.0008218
20,7079.71,1.33351,0.8995,0.93093,0.48091,0.38164,0.38563,0.21757,1.32257,0.88159,0.91767,0.0008119,0.0008119,0.0008119
21,7426.52,1.34128,0.89428,0.93174,0.5185,0.38019,0.39158,0.22141,1.31858,0.87983,0.92026,0.000802,0.000802,0.000802
22,7769.63,1.33046,0.88745,0.93065,0.52139,0.39103,0.40251,0.22824,1.30245,0.87659,0.91624,0.0007921,0.0007921,0.0007921
23,8112.69,1.3208,0.87661,0.93011,0.51628,0.38351,0.39362,0.21846,1.31723,0.88061,0.91952,0.0007822,0.0007822,0.0007822
24,8454.25,1.32046,0.87784,0.92822,0.50701,0.38154,0.38774,0.21502,1.33001,0.88521,0.92114,0.0007723,0.0007723,0.0007723
25,8795.59,1.31065,0.86551,0.92645,0.51582,0.38099,0.39114,0.21678,1.34778,0.87816,0.91873,0.0007624,0.0007624,0.0007624
